name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Cupid - Twin Ver.,The Beginning,FIFTY FIFTY,2023-09-22,174253,84,0.783,0.435,0.783,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,4
LALA,LA VIDA ES UNA,Myke Towers,2023-03-23,197920,95,0.708,0.0739,0.708,0.737,0.00162,0.0955,-4.045,0.0436,91.986,4
Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,2023-06-23,109750,88,0.77,0.519,0.77,0.58,0.000127,0.233,-8.393,0.247,144.072,4
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,231545,89,0.671,0.12,0.671,0.876,0.188,0.0823,-5.681,0.0352,129.998,4
Flowers,Endless Summer Vacation,Miley Cyrus,2023-08-18,200600,93,0.706,0.0584,0.706,0.691,6.99e-05,0.0232,-4.775,0.0633,118.048,4
TOO MUCH,TOO MUCH,The Kid LAROI,2023-10-19,203894,88,0.758,0.252,0.758,0.703,0.0,0.146,-5.979,0.172,94.985,4
Single Soon,Single Soon,Selena Gomez,2023-08-25,171655,86,0.61,0.00863,0.61,0.571,0.0,0.131,-5.649,0.0782,105.01,4
Say Yes To Heaven,Say Yes To Heaven,Lana Del Rey,2023-05-19,209156,89,0.49,0.709,0.49,0.352,0.0856,0.114,-11.577,0.0254,99.992,4
Sprinter,Sprinter,Dave,2023-06-01,229133,91,0.916,0.186,0.916,0.583,0.0,0.0798,-8.067,0.241,141.095,4
Celebration,Celebrate!,Kool & The Gang,1980-09-29,298866,73,0.885,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,121.632,4
ABC,ABC,The Jackson 5,1970-05-08,177733,6,0.715,0.486,0.715,0.678,0.000192,0.15,-11.842,0.0475,94.769,4
Dynamite,BE,BTS,2020-11-20,199053,5,0.746,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4
Our House,Madness,Madness,1983-01,201133,61,0.601,0.0285,0.601,0.649,7.71e-05,0.127,-10.57,0.0554,121.66,4
Don't Stop Me Now,Greatest Hits,Queen,1981-10-26,209600,0,0.557,0.057,0.557,0.761,0.00109,0.567,-9.58,0.167,156.442,4
Come On Eileen,Too Rye Ay,Dexys Midnight Runners,1982-07-22,287306,78,0.45,0.664,0.45,0.656,3.02e-06,0.259,-7.049,0.0472,106.61,4
